,C,Minimum energy,Best Ti sites,Total time
17,100,-123.70264583359103,"[(1, 6), (7, 1), (8, 2), (8, 5), (5, 8), (1, 3), (3, 8), (8, 8)]",300.071848339001
18,100,-123.74983045182947,"[(1, 3), (7, 7), (3, 8), (8, 2), (2, 1), (1, 8), (8, 4), (8, 6)]",293.4623995050006
19,100,-123.6325540997093,"[(4, 1), (7, 8), (8, 1), (8, 7), (2, 2), (8, 4), (1, 8), (2, 7)]",297.85906385199996
20,50,-123.71191119060717,"[(1, 5), (8, 5), (2, 2), (3, 8), (7, 7), (7, 1), (6, 8), (5, 1)]",245.20197822599948
21,50,-123.54779726862158,"[(8, 5), (2, 7), (0, 6), (1, 8), (1, 3), (3, 8), (1, 5), (4, 1)]",245.43513157300004
22,50,-123.78579270128483,"[(1, 6), (4, 8), (6, 8), (6, 1), (7, 7), (8, 6), (1, 3), (2, 7)]",243.4810927890012
23,50,-123.71789904358147,"[(7, 7), (6, 8), (3, 8), (8, 4), (8, 6), (1, 6), (8, 1), (2, 1)]",243.4378676790002
24,50,-123.68894871967548,"[(2, 2), (8, 3), (2, 8), (8, 5), (7, 2), (5, 1), (1, 6), (8, 8)]",245.2794218199997
25,25,-123.8118860671856,"[(8, 4), (1, 2), (1, 6), (2, 1), (4, 1), (7, 1), (1, 4), (2, 7)]",245.1305030200001
26,25,-123.78562762599495,"[(3, 1), (5, 1), (8, 6), (1, 1), (7, 1), (1, 5), (2, 8), (1, 7)]",244.79640360500161
27,25,-123.77445567168826,"[(1, 1), (1, 6), (2, 7), (8, 6), (2, 2), (1, 3), (4, 1), (1, 8)]",246.4919038019998
28,25,-123.78859367980701,"[(1, 5), (2, 1), (1, 3), (3, 8), (8, 5), (1, 7), (7, 7), (8, 3)]",245.32860051900025
29,25,-123.79591904590039,"[(2, 7), (2, 2), (8, 3), (4, 1), (1, 3), (1, 1), (3, 8), (1, 5)]",245.62196101799964
30,10,-123.84365043034177,"[(8, 6), (6, 8), (7, 7), (1, 7), (6, 1), (4, 1), (1, 5), (8, 8)]",246.76943443799973
31,10,-123.74723862492482,"[(1, 8), (2, 7), (8, 1), (3, 8), (8, 6), (7, 2), (6, 1), (1, 2)]",250.6290273960003
32,10,-123.81153666636762,"[(1, 4), (2, 8), (8, 6), (1, 7), (4, 8), (8, 4), (7, 8), (8, 2)]",249.89644686199972
33,10,-123.79202700385456,"[(1, 2), (2, 7), (3, 1), (8, 2), (8, 7), (1, 4), (3, 8), (1, 6)]",255.08220760499898
34,10,-123.80606558524289,"[(4, 1), (7, 8), (2, 7), (1, 8), (8, 5), (8, 3), (3, 8), (8, 7)]",255.13774248399932
35,5,-123.77516852080407,"[(1, 3), (8, 2), (5, 8), (8, 6), (3, 8), (2, 1), (4, 1), (7, 7)]",263.58037926399993
36,5,-123.80763827549994,"[(3, 1), (3, 8), (8, 5), (2, 2), (1, 1), (5, 1), (5, 8), (7, 1)]",290.60843505999947
37,5,-123.81881101880055,"[(8, 6), (4, 1), (8, 4), (2, 1), (1, 2), (2, 7), (8, 2), (6, 1)]",292.71522216499943
38,5,-123.82117612061525,"[(3, 8), (2, 7), (5, 8), (1, 1), (7, 8), (1, 3), (8, 7), (1, 5)]",360.251432473
39,5,-123.83677512614354,"[(6, 1), (1, 2), (8, 5), (7, 2), (8, 1), (8, 7), (4, 1), (2, 1)]",350.7364922099987
